sampleID	treatment	Novel introns	Novel exons	Novel transcripts	Matching introns	Matching exons	Matching transcripts	Intron level sensitivity	Intron level precision	Exon level sensitivity	Exon level precision	Transcript level sensitivity	Transcript level precision
SRR14056781	TAIR10_star_EASTR_filtered	4521	2953	10993	101594	128107	17196	72.3	93.1	52.8	76.9	28.90035461588881	61.00251871297314
SRR16596900	TAIR10_hisat_EASTR_filtered	728	544	8654	94550	116915	15577	67.8	97.2	48.9	79.4	26.179391942992556	64.28541950394123
SRR14056780	TAIR10_hisat_EASTR_filtered	4195	2645	10161	98422	123919	16288	70.4	93.8	51.0	76.9	27.374329843195913	61.582668531891564
SRR16596900	TAIR10_star_EASTR_filtered	692	527	8845	94589	116958	15524	67.7	97.1	48.9	79.3	26.09031780978471	63.703886084779846
SRR16596899	TAIR10_hisat_EASTR_filtered	730	517	8425	94274	116361	15464	67.6	97.3	48.6	79.4	25.989479168417336	64.73272217338524
SRR14056780	TAIR10_star_EASTR_filtered	4155	2623	10365	98489	123956	16240	70.3	93.7	50.9	76.8	27.293658930102016	61.04115767712836
SRR16596899	TAIR10_star_EASTR_filtered	734	530	8753	94275	116452	15402	67.5	97.1	48.5	79.2	25.885279239004387	63.76319602566756
SRR14056781	TAIR10_hisat_EASTR_filtered	4553	3012	10716	101685	128175	17292	72.5	93.2	53.0	77.0	29.061696442076602	61.7395029991431
SRR14056782	TAIR10_star_EASTR_filtered	4189	2707	10679	98991	124728	16383	70.6	93.5	51.3	76.7	27.53399102536092	60.5387628408839
SRR14056782	TAIR10_hisat_EASTR_filtered	4220	2763	10472	99001	124727	16465	70.8	93.7	51.4	76.8	27.67180383522966	61.12410439172885
SRR16596898	TAIR10_hisat_EASTR_filtered	676	526	8368	92715	114410	15007	66.6	97.4	47.9	79.5	25.22142485000252	64.20106951871658
SRR16596898	TAIR10_star_EASTR_filtered	661	521	8667	92636	114384	14930	66.4	97.2	47.8	79.4	25.092015260247727	63.27075475696063
SRR14056780	TAIR10_hisat	4351	2855	10280	98521	124112	16299	70.4	93.6	51.0	76.7	27.392816927446596	61.32284886564581
SRR14056781	TAIR10_star	4647	3136	11081	101693	128241	17201	72.3	92.9	52.9	76.7	28.908757836002756	60.81960257407538
SRR14056782	TAIR10_hisat	4408	3011	10611	99127	124960	16472	70.8	93.4	51.4	76.6	27.683568343389187	60.82044086696452
SRR16596900	TAIR10_hisat	766	586	8741	94637	117100	15591	67.8	97.1	48.9	79.3	26.20292095931161	64.07611375965806
SRR14056780	TAIR10_star	4291	2780	10465	98588	124136	16246	70.4	93.5	50.9	76.6	27.30374279423875	60.821384448354614
SRR16596899	TAIR10_hisat	775	570	8519	94369	116553	15472	67.6	97.1	48.6	79.3	26.002924320599654	64.49085073569255
SRR16596898	TAIR10_hisat	716	573	8454	92805	114597	15015	66.6	97.3	47.9	79.4	25.234870002184838	63.97801354978908
SRR16596899	TAIR10_star	783	582	8821	94338	116591	15413	67.5	97.0	48.6	79.1	25.90376632325507	63.6007262523727
SRR16596898	TAIR10_star	701	567	8723	92698	114516	14941	66.4	97.2	47.8	79.3	25.11050234449841	63.13810006761325
SRR14056782	TAIR10_star	4323	2879	10766	99073	124851	16396	70.6	93.3	51.3	76.6	27.55583939765718	60.363743465135116
SRR16596900	TAIR10_star	728	577	8904	94651	117076	15543	67.7	97.0	48.9	79.2	26.12225004621771	63.57835317216836
SRR14056781	TAIR10_hisat	4743	3243	10892	101837	128475	17306	72.5	93.0	53.0	76.8	29.08522545839566	61.37314703170438
