sampleID	treatment	Novel introns	Novel exons	Novel transcripts	Matching introns	Matching exons	Matching transcripts	Intron level sensitivity	Intron level precision	Exon level sensitivity	Exon level precision	Transcript level sensitivity	Transcript level precision
SRR10689481	hg38_hisat_EASTR_filtered	4883	8976	18905	144605	159515	14688	43.1	92.2	39.2	80.5	9.946300271545915	43.72339475485964
SRR10689480	hg38_star_EASTR_filtered	2047	3803	17494	92180	110279	4814	28.2	95.7	23.8	73.1	3.2599053313740494	21.579702348933118
SRR10689478	hg38_hisat_EASTR_filtered	4467	8827	23302	132867	152272	12221	39.6	92.3	35.7	76.8	8.275717294292118	34.40306280438026
SRR10689473	hg38_star_EASTR_filtered	6733	13529	24243	161628	179922	15601	47.8	90.9	43.0	76.9	10.564558179220304	39.15520530067262
SRR10689490	hg38_star_EASTR_filtered	2758	6403	22661	87329	106047	7968	25.8	91.7	23.1	71.1	5.395705376067392	26.01456136341376
SRR10689479	hg38_hisat_EASTR_filtered	4513	8329	18015	149710	164088	15831	44.8	92.9	40.8	82.0	10.720307706892932	46.773621698280444
SRR10689484	hg38_star_EASTR_filtered	4708	9859	24345	143528	164832	12009	42.9	92.6	38.3	76.1	8.132156860089522	33.03350387852781
SRR10689480	hg38_hisat_EASTR_filtered	2222	4132	17740	93227	111449	4944	28.5	95.7	24.2	73.6	3.3479376731020567	21.795097866337507
SRR10689477	hg38_star_EASTR_filtered	2563	4816	16303	119959	136189	9142	36.4	95.1	32.1	79.5	6.190705139057242	35.92847317744154
SRR10689482	hg38_hisat_EASTR_filtered	4094	7694	17795	132495	148021	11745	39.9	93.3	35.9	79.9	7.953383489195723	39.759647935003386
SRR10689488	hg38_star_EASTR_filtered	3240	6579	24310	107994	131889	4821	32.9	94.5	26.9	68.3	3.264645534390173	16.549380385156706
SRR10689483	hg38_hisat_EASTR_filtered	7242	13363	23978	164216	177109	18087	48.0	89.6	43.5	79.2	12.24800742180358	42.99774159039582
SRR10689487	hg38_hisat_EASTR_filtered	9254	17251	29077	185946	196476	21757	53.5	87.7	48.4	78.5	14.733228145971166	42.800094424991144
SRR10689489	hg38_star_EASTR_filtered	5772	11559	22251	155379	173442	14305	46.2	91.7	41.6	77.7	9.686943449378017	39.1317430791115
SRR10689486	hg38_hisat_EASTR_filtered	6013	11640	22334	159450	173471	16153	47.2	91.1	42.5	79.6	10.938357045634612	41.970015849507625
SRR10689484	hg38_hisat_EASTR_filtered	5160	10716	24642	144667	165893	12254	43.4	92.5	38.7	76.0	8.298063965653844	33.21227233304423
SRR10689468	hg38_hisat_EASTR_filtered	4560	8883	24144	131610	152647	11258	39.4	92.5	35.3	75.9	7.623600793645419	31.800463250663803
SRR10689481	hg38_star_EASTR_filtered	4718	8734	18980	144118	158882	14404	42.8	92.0	39.0	80.4	9.753983463463193	43.14641744548287
SRR10689472	hg38_star_EASTR_filtered	4866	9317	22579	144535	163093	13489	43.0	92.0	39.0	78.3	9.134371212069912	37.398802262393254
SRR10689490	hg38_hisat_EASTR_filtered	2813	6427	22511	87402	106282	8100	26.0	92.1	23.1	71.3	5.485092061514291	26.46107608376074
