sampleID,,,treatment,,,Novel introns,,,Novel exons,,,Novel transcripts,,,Matching introns,,,Matching exons,,,Matching transcripts,,,Intron level sensitivity,,,Intron level precision,,,Exon level sensitivity,,,Exon level precision,,,Transcript level sensitivity,,,Transcript level precision
control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%)
SRR10689475,,,hg38_hisat,hg38_hisat_cansplicep12,relative_change,5577,4541,-18.58,10918,9061,-17.01,22560,21459,-4.88,144307,143189,-0.77,163196,162443,-0.46,12295,12254,-0.33,43.3,43.3,0.0,92.5,93.7,1.3,38.3,38.2,-0.26,76.8,77.7,1.17,8.325828011891138,8.298063965653844,-0.33,35.27470951083058,36.34799632189363,3.04
SRR10689474,,,hg38_hisat,hg38_hisat_cansplicep12,relative_change,4139,3559,-14.01,7886,6972,-11.59,19399,18630,-3.96,137111,136309,-0.58,154457,153780,-0.44,13861,13886,0.18,41.1,41.1,0.0,93.2,94.0,0.86,37.4,37.3,-0.27,79.7,80.3,0.75,9.3862791437839,9.403208440270056,0.18,41.67468430547204,42.70512978226104,2.47
SRR10689477,,,hg38_hisat,hg38_hisat_cansplicep12,relative_change,2920,2581,-11.61,5304,4752,-10.41,16401,16017,-2.34,120881,120233,-0.54,137097,136623,-0.35,9399,9394,-0.05,36.8,36.7,-0.27,95.0,95.6,0.63,32.5,32.4,-0.31,79.8,80.2,0.5,6.364738306934917,6.361352447637686,-0.05,36.43023255813954,36.968242099878005,1.48
SRR10689476,,,hg38_hisat,hg38_hisat_cansplicep12,relative_change,5322,4625,-13.1,9551,8439,-11.64,19338,18408,-4.81,157096,155883,-0.77,172082,171187,-0.52,16514,16516,0.01,46.9,46.8,-0.21,92.3,93.2,0.98,42.8,42.7,-0.23,81.5,82.2,0.86,11.182816086894691,11.184170430613586,0.01,46.061586522369744,47.29126102393769,2.67
SRR10689470,,,hg38_hisat,hg38_hisat_cansplicep12,relative_change,4391,3805,-13.35,8523,7484,-12.19,21225,20462,-3.59,134733,133979,-0.56,153023,152474,-0.36,13360,13388,0.21,40.3,40.3,0.0,92.7,93.6,0.97,36.5,36.4,-0.27,78.2,78.9,0.9,9.047016042201353,9.065976854265845,0.21,38.62946364030649,39.55096011816839,2.39
SRR10689488,,,hg38_hisat,hg38_hisat_cansplicep12,relative_change,4562,3354,-26.48,9216,6931,-24.79,25912,24777,-4.38,109458,108880,-0.53,133767,133255,-0.38,4926,4898,-0.57,33.4,33.3,-0.3,93.6,94.9,1.39,27.4,27.3,-0.36,67.4,68.5,1.63,3.3357485796320248,3.316787767567531,-0.57,15.973798560217912,16.50547598989048,3.33
SRR10689471,,,hg38_hisat,hg38_hisat_cansplicep12,relative_change,2626,2174,-17.21,4909,4062,-17.25,21468,21022,-2.08,96351,95888,-0.48,117616,117201,-0.35,3883,3868,-0.39,29.5,29.5,0.0,95.4,96.1,0.73,23.9,23.8,-0.42,69.1,69.4,0.43,2.629458330229629,2.619300752337936,-0.39,15.316950021695396,15.540377661711531,1.46
SRR10689489,,,hg38_hisat,hg38_hisat_cansplicep12,relative_change,6814,5547,-18.59,13148,10779,-18.02,22938,21413,-6.65,157135,155587,-0.99,175172,174186,-0.56,14846,14875,0.2,46.8,46.7,-0.21,91.4,92.7,1.42,42.1,42.0,-0.24,77.4,78.5,1.42,10.053293425338415,10.072931409262356,0.2,39.29176370950667,40.99151234567901,4.33
SRR10689472,,,hg38_hisat,hg38_hisat_cansplicep12,relative_change,5430,4662,-14.14,10197,8910,-12.62,22998,22114,-3.84,145014,143991,-0.71,164048,163197,-0.52,13688,13688,0.0,43.2,43.2,0.0,91.9,92.9,1.09,39.2,39.0,-0.51,77.9,78.6,0.9,9.269128412099708,9.269128412099708,0.0,37.31123589380145,38.23250097759902,2.47
SRR10689473,,,hg38_hisat,hg38_hisat_cansplicep12,relative_change,8437,6723,-20.32,16347,13278,-18.77,25686,23856,-7.12,163395,161779,-0.99,181799,180741,-0.58,16062,16074,0.07,48.5,48.3,-0.41,90.2,91.8,1.77,43.4,43.3,-0.23,75.9,77.3,1.84,10.876734406425006,10.884860468738362,0.07,38.47369933889048,40.255447032306535,4.63
SRR10689487,,,hg38_hisat,hg38_hisat_cansplicep12,relative_change,10126,8590,-15.17,18571,16158,-12.99,29874,27577,-7.69,185853,183385,-1.33,196755,194872,-0.96,21622,21745,0.57,53.4,53.3,-0.19,87.2,88.8,1.83,48.3,48.2,-0.21,77.8,79.1,1.67,14.641809944945928,14.725102083657813,0.57,41.98772720211279,44.08783098819999,5.0
SRR10689486,,,hg38_hisat,hg38_hisat_cansplicep12,relative_change,6559,5482,-16.42,12500,10733,-14.14,22822,21445,-6.03,159472,157748,-1.08,173676,172504,-0.67,16117,16132,0.09,47.1,47.0,-0.21,90.8,92.1,1.43,42.5,42.4,-0.24,79.1,80.1,1.26,10.913978858694549,10.924136436586242,0.09,41.39037982485426,42.93051600713202,3.72
SRR10689468,,,hg38_hisat,hg38_hisat_cansplicep12,relative_change,5019,4292,-14.48,9623,8371,-13.01,24567,23838,-2.97,131677,130812,-0.66,152805,152240,-0.37,11226,11247,0.19,39.4,39.3,-0.25,92.1,93.1,1.09,35.3,35.2,-0.28,75.5,76.1,0.79,7.60193129414314,7.616151903191511,0.19,31.363674461486884,32.05643437366396,2.21
SRR10689490,,,hg38_hisat,hg38_hisat_cansplicep12,relative_change,3020,2635,-12.75,6717,6059,-9.8,22710,22158,-2.43,87439,86885,-0.63,106417,105968,-0.42,8093,8106,0.16,26.0,25.9,-0.38,91.8,92.7,0.98,23.1,23.1,0.0,71.1,71.5,0.56,5.480351858498168,5.489155092670969,0.16,26.27341492711749,26.784298176050758,1.94
SRR10689485,,,hg38_hisat,hg38_hisat_cansplicep12,relative_change,5122,4419,-13.73,9081,7918,-12.81,19708,18769,-4.76,151769,150706,-0.7,167333,166510,-0.49,15199,15229,0.2,45.3,45.2,-0.22,92.4,93.3,0.97,41.3,41.2,-0.24,80.9,81.6,0.87,10.292335091722927,10.312650247506314,0.2,43.54141003237173,44.79381140067063,2.88
