sampleID,,,treatment,,,Novel introns,,,Novel exons,,,Novel transcripts,,,Matching introns,,,Matching exons,,,Matching transcripts,,,Intron level sensitivity,,,Intron level precision,,,Exon level sensitivity,,,Exon level precision,,,Transcript level sensitivity,,,Transcript level precision
control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%)
SRR10689481,,,hg38_hisat_EASTR_filtered,hg38_hisat_cansplicep12,relative_change,4883,4610,-5.59,8976,8513,-5.16,18905,18413,-2.6,144605,143839,-0.53,159515,159149,-0.23,14688,14679,-0.06,43.1,43.1,0.0,92.2,92.8,0.65,39.2,39.1,-0.26,80.5,80.8,0.37,9.946300271545915,9.9402057248109,-0.06,43.72339475485964,44.35815302792216,1.45
SRR10689478,,,hg38_hisat_EASTR_filtered,hg38_hisat_cansplicep12,relative_change,4467,4165,-6.76,8827,8251,-6.53,23302,22840,-1.98,132867,132044,-0.62,152272,151844,-0.28,12221,12244,0.19,39.6,39.6,0.0,92.3,92.9,0.65,35.7,35.6,-0.28,76.8,77.1,0.39,8.275717294292118,8.291292247059381,0.19,34.40306280438026,34.89909930452628,1.44
SRR10689479,,,hg38_hisat_EASTR_filtered,hg38_hisat_cansplicep12,relative_change,4513,4225,-6.38,8329,7813,-6.2,18015,17473,-3.01,149710,148749,-0.64,164088,163523,-0.34,15831,15841,0.06,44.8,44.7,-0.22,92.9,93.4,0.54,40.8,40.7,-0.25,82.0,82.3,0.37,10.720307706892932,10.727079425487394,0.06,46.77362169828045,47.55057933601489,1.66
SRR10689480,,,hg38_hisat_EASTR_filtered,hg38_hisat_cansplicep12,relative_change,2222,2110,-5.04,4132,3930,-4.89,17740,17644,-0.54,93227,92864,-0.39,111449,111166,-0.25,4944,4935,-0.18,28.5,28.5,0.0,95.7,96.0,0.31,24.2,24.1,-0.41,73.6,73.6,0.0,3.3479376731020567,3.3418431263670407,-0.18,21.795097866337507,21.856592408875503,0.28
SRR10689482,,,hg38_hisat_EASTR_filtered,hg38_hisat_cansplicep12,relative_change,4094,3736,-8.74,7694,7071,-8.1,17795,17363,-2.43,132495,131540,-0.72,148021,147528,-0.33,11745,11719,-0.22,39.9,39.8,-0.25,93.3,94.0,0.75,35.9,35.7,-0.56,79.9,80.2,0.38,7.953383489195723,7.9357770208501215,-0.22,39.759647935003386,40.29640327350251,1.35
SRR10689483,,,hg38_hisat_EASTR_filtered,hg38_hisat_cansplicep12,relative_change,7242,6752,-6.77,13363,12559,-6.02,23978,22949,-4.29,164216,162530,-1.03,177109,176116,-0.56,18087,18175,0.49,48.0,47.9,-0.21,89.6,90.4,0.89,43.5,43.4,-0.23,79.2,79.7,0.63,12.24800742180358,12.307598545434846,0.49,42.99774159039582,44.19560354051163,2.79
SRR10689487,,,hg38_hisat_EASTR_filtered,hg38_hisat_cansplicep12,relative_change,9254,8590,-7.18,17251,16158,-6.34,29077,27577,-5.16,185946,183385,-1.38,196476,194872,-0.82,21757,21745,-0.06,53.5,53.3,-0.37,87.7,88.8,1.25,48.4,48.2,-0.41,78.5,79.1,0.76,14.733228145971166,14.725102083657813,-0.06,42.80009442499114,44.08783098819999,3.01
SRR10689486,,,hg38_hisat_EASTR_filtered,hg38_hisat_cansplicep12,relative_change,6013,5482,-8.83,11640,10733,-7.79,22334,21445,-3.98,159450,157748,-1.07,173471,172504,-0.56,16153,16132,-0.13,47.2,47.0,-0.42,91.1,92.1,1.1,42.5,42.4,-0.24,79.6,80.1,0.63,10.938357045634612,10.924136436586242,-0.13,41.970015849507625,42.93051600713202,2.29
SRR10689484,,,hg38_hisat_EASTR_filtered,hg38_hisat_cansplicep12,relative_change,5160,4769,-7.58,10716,9868,-7.91,24642,24105,-2.18,144667,143682,-0.68,165893,165523,-0.22,12254,12198,-0.46,43.4,43.3,-0.23,92.5,93.3,0.86,38.7,38.6,-0.26,76.0,76.4,0.53,8.298063965653844,8.260142341524855,-0.46,33.21227233304423,33.600528881910584,1.17
SRR10689468,,,hg38_hisat_EASTR_filtered,hg38_hisat_cansplicep12,relative_change,4560,4292,-5.88,8883,8371,-5.76,24144,23838,-1.27,131610,130812,-0.61,152647,152240,-0.27,11258,11247,-0.1,39.4,39.3,-0.25,92.5,93.1,0.65,35.3,35.2,-0.28,75.9,76.1,0.26,7.623600793645419,7.616151903191511,-0.1,31.800463250663803,32.05643437366396,0.8
