sampleID,,,treatment,,,Novel introns,,,Novel exons,,,Novel transcripts,,,Matching introns,,,Matching exons,,,Matching transcripts,,,Intron level sensitivity,,,Intron level precision,,,Exon level sensitivity,,,Exon level precision,,,Transcript level sensitivity,,,Transcript level precision
control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%)
SRR10689481,,,hg38_hisat_EASTR_filtered,hg38_hisat_cansplicep12_EASTR_filtered,relative_change,4883,4535,-7.13,8976,8381,-6.63,18905,18317,-3.11,144605,143788,-0.56,159515,159052,-0.29,14688,14688,0.0,43.1,43.1,0.0,92.2,92.9,0.76,39.2,39.1,-0.26,80.5,80.9,0.5,9.946300271545915,9.946300271545915,0.0,43.72339475485964,44.50234812907135,1.78
SRR10689478,,,hg38_hisat_EASTR_filtered,hg38_hisat_cansplicep12_EASTR_filtered,relative_change,4467,4078,-8.71,8827,8104,-8.19,23302,22743,-2.4,132867,132000,-0.65,152272,151767,-0.33,12221,12251,0.25,39.6,39.6,0.0,92.3,93.0,0.76,35.7,35.6,-0.28,76.8,77.2,0.52,8.275717294292118,8.296032450075504,0.25,34.40306280438026,35.00885866148482,1.76
SRR10689479,,,hg38_hisat_EASTR_filtered,hg38_hisat_cansplicep12_EASTR_filtered,relative_change,4513,4143,-8.2,8329,7706,-7.48,18015,17383,-3.51,149710,148660,-0.7,164088,163372,-0.44,15831,15845,0.09,44.8,44.7,-0.22,92.9,93.5,0.65,40.8,40.7,-0.25,82.0,82.4,0.49,10.720307706892932,10.72978811292518,0.09,46.77362169828045,47.68568677019381,1.95
SRR10689480,,,hg38_hisat_EASTR_filtered,hg38_hisat_cansplicep12_EASTR_filtered,relative_change,2222,2042,-8.1,4132,3795,-8.16,17740,17577,-0.92,93227,92871,-0.38,111449,111174,-0.25,4944,4935,-0.18,28.5,28.5,0.0,95.7,96.0,0.31,24.2,24.1,-0.41,73.6,73.6,0.0,3.3479376731020567,3.3418431263670407,-0.18,21.795097866337507,21.921641791044777,0.58
SRR10689482,,,hg38_hisat_EASTR_filtered,hg38_hisat_cansplicep12_EASTR_filtered,relative_change,4094,3662,-10.55,7694,6959,-9.55,17795,17299,-2.79,132495,131532,-0.73,148021,147490,-0.36,11745,11724,-0.18,39.9,39.8,-0.25,93.3,94.1,0.86,35.9,35.7,-0.56,79.9,80.3,0.5,7.953383489195723,7.939162880147353,-0.18,39.759647935003386,40.39554835819867,1.6
SRR10689483,,,hg38_hisat_EASTR_filtered,hg38_hisat_cansplicep12_EASTR_filtered,relative_change,7242,6565,-9.35,13363,12269,-8.19,23978,22783,-4.98,164216,162486,-1.05,177109,175980,-0.64,18087,18183,0.53,48.0,47.9,-0.21,89.6,90.6,1.12,43.5,43.4,-0.23,79.2,79.8,0.76,12.24800742180358,12.313015920310416,0.53,42.99774159039582,44.38558804862569,3.23
SRR10689487,,,hg38_hisat_EASTR_filtered,hg38_hisat_cansplicep12_EASTR_filtered,relative_change,9254,8390,-9.34,17251,15825,-8.27,29077,27350,-5.94,185946,183320,-1.41,196476,194687,-0.91,21757,21769,0.06,53.5,53.3,-0.37,87.7,88.9,1.37,48.4,48.2,-0.41,78.5,79.3,1.02,14.733228145971166,14.74135420828452,0.06,42.80009442499114,44.318899000386814,3.55
SRR10689486,,,hg38_hisat_EASTR_filtered,hg38_hisat_cansplicep12_EASTR_filtered,relative_change,6013,5381,-10.51,11640,10558,-9.3,22334,21329,-4.5,159450,157704,-1.1,173471,172433,-0.6,16153,16136,-0.11,47.2,47.0,-0.42,91.1,92.1,1.1,42.5,42.4,-0.24,79.6,80.2,0.75,10.938357045634612,10.926845124024029,-0.11,41.970015849507625,43.06953156279194,2.62
SRR10689484,,,hg38_hisat_EASTR_filtered,hg38_hisat_cansplicep12_EASTR_filtered,relative_change,5160,4591,-11.03,10716,9564,-10.75,24642,23943,-2.84,144667,143664,-0.69,165893,165463,-0.26,12254,12203,-0.42,43.4,43.3,-0.23,92.5,93.4,0.97,38.7,38.6,-0.26,76.0,76.5,0.66,8.298063965653844,8.263528200822087,-0.42,33.21227233304423,33.7603054279865,1.65
SRR10689468,,,hg38_hisat_EASTR_filtered,hg38_hisat_cansplicep12_EASTR_filtered,relative_change,4560,4184,-8.25,8883,8174,-7.98,24144,23713,-1.79,131610,130782,-0.63,152647,152172,-0.31,11258,11255,-0.03,39.4,39.3,-0.25,92.5,93.2,0.76,35.3,35.2,-0.28,75.9,76.2,0.4,7.623600793645419,7.62156927806708,-0.03,31.800463250663803,32.18657057881492,1.21
SRR10689490,,,hg38_hisat_EASTR_filtered,hg38_hisat_cansplicep12_EASTR_filtered,relative_change,2813,2594,-7.79,6427,5997,-6.69,22511,22110,-1.78,87402,86865,-0.61,106282,105918,-0.34,8100,8108,0.1,26.0,25.9,-0.38,92.1,92.8,0.76,23.1,23.1,0.0,71.3,71.6,0.42,5.485092061514291,5.490509436389861,0.1,26.46107608376074,26.83168972135813,1.4
SRR10689469,,,hg38_hisat_EASTR_filtered,hg38_hisat_cansplicep12_EASTR_filtered,relative_change,1988,1819,-8.5,3685,3358,-8.87,18102,17956,-0.81,102465,102008,-0.45,121367,121043,-0.27,5880,5853,-0.46,31.4,31.4,0.0,96.2,96.6,0.42,26.7,26.6,-0.37,75.1,75.1,0.0,3.981770533543708,3.963486893338661,-0.46,24.518388791593694,24.58314082909824,0.26
SRR10689485,,,hg38_hisat_EASTR_filtered,hg38_hisat_cansplicep12_EASTR_filtered,relative_change,4707,4325,-8.12,8461,7767,-8.2,19312,18668,-3.33,151670,150651,-0.67,167096,166440,-0.39,15235,15238,0.02,45.3,45.2,-0.22,92.7,93.4,0.76,41.3,41.2,-0.24,81.3,81.7,0.49,10.316713278662991,10.318744794241333,0.02,44.09934292413234,44.94189818911107,1.91
SRR10689474,,,hg38_hisat_EASTR_filtered,hg38_hisat_cansplicep12_EASTR_filtered,relative_change,3805,3471,-8.78,7447,6844,-8.1,19119,18536,-3.05,137102,136285,-0.6,154289,153696,-0.38,13891,13892,0.01,41.2,41.1,-0.24,93.4,94.1,0.75,37.4,37.3,-0.27,80.0,80.4,0.5,9.406594299567288,9.407271471426734,0.01,42.08118751893365,42.839521401258175,1.8
SRR10689475,,,hg38_hisat_EASTR_filtered,hg38_hisat_cansplicep12_EASTR_filtered,relative_change,4834,4330,-10.43,9622,8663,-9.97,21849,21263,-2.68,144283,143189,-0.76,163033,162437,-0.37,12320,12264,-0.45,43.4,43.3,-0.23,93.0,93.8,0.86,38.4,38.2,-0.52,77.4,77.9,0.65,8.342757308377292,8.304835684248305,-0.45,36.05607421932161,36.579473260357325,1.45
