sampleID,,,treatment,,,Novel introns,,,Novel exons,,,Novel transcripts,,,Matching introns,,,Matching exons,,,Matching transcripts,,,Intron level sensitivity,,,Intron level precision,,,Exon level sensitivity,,,Exon level precision,,,Transcript level sensitivity,,,Transcript level precision
control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%)
SRR10689487,,,hg38_hisat_cansplicep12,hg38_hisat_cansplicep12_EASTR_filtered,relative_change,8590,8390,-2.33,16158,15825,-2.06,27577,27350,-0.82,183385,183320,-0.04,194872,194687,-0.09,21745,21769,0.11,53.3,53.3,0.0,88.8,88.9,0.11,48.2,48.2,0.0,79.1,79.3,0.25,14.725102083657813,14.74135420828452,0.11,44.08783098819999,44.318899000386814,0.52
SRR10689468,,,hg38_hisat_cansplicep12,hg38_hisat_cansplicep12_EASTR_filtered,relative_change,4292,4184,-2.52,8371,8174,-2.35,23838,23713,-0.52,130812,130782,-0.02,152240,152172,-0.04,11247,11255,0.07,39.3,39.3,0.0,93.1,93.2,0.11,35.2,35.2,0.0,76.1,76.2,0.13,7.616151903191511,7.62156927806708,0.07,32.05643437366396,32.18657057881492,0.41
SRR10689473,,,hg38_hisat_cansplicep12,hg38_hisat_cansplicep12_EASTR_filtered,relative_change,6723,6493,-3.42,13278,12880,-3.0,23856,23640,-0.91,161779,161776,-0.0,180741,180692,-0.03,16074,16082,0.05,48.3,48.3,0.0,91.8,91.9,0.11,43.3,43.3,0.0,77.3,77.5,0.26,10.884860468738362,10.89027784361393,0.05,40.255447032306535,40.486380343386536,0.57
SRR10689475,,,hg38_hisat_cansplicep12,hg38_hisat_cansplicep12_EASTR_filtered,relative_change,4541,4330,-4.65,9061,8663,-4.39,21459,21263,-0.91,143189,143189,0.0,162443,162437,-0.0,12254,12264,0.08,43.3,43.3,0.0,93.7,93.8,0.11,38.2,38.2,0.0,77.7,77.9,0.26,8.298063965653844,8.304835684248305,0.08,36.34799632189363,36.579473260357325,0.64
SRR10689481,,,hg38_hisat_cansplicep12,hg38_hisat_cansplicep12_EASTR_filtered,relative_change,4610,4535,-1.63,8513,8381,-1.55,18413,18317,-0.52,143839,143788,-0.04,159149,159052,-0.06,14679,14688,0.06,43.1,43.1,0.0,92.8,92.9,0.11,39.1,39.1,0.0,80.8,80.9,0.12,9.9402057248109,9.946300271545915,0.06,44.35815302792216,44.50234812907135,0.33
SRR10689479,,,hg38_hisat_cansplicep12,hg38_hisat_cansplicep12_EASTR_filtered,relative_change,4225,4143,-1.94,7813,7706,-1.37,17473,17383,-0.52,148749,148660,-0.06,163523,163372,-0.09,15841,15845,0.03,44.7,44.7,0.0,93.4,93.5,0.11,40.7,40.7,0.0,82.3,82.4,0.12,10.727079425487394,10.72978811292518,0.03,47.55057933601489,47.68568677019381,0.28
SRR10689490,,,hg38_hisat_cansplicep12,hg38_hisat_cansplicep12_EASTR_filtered,relative_change,2635,2594,-1.56,6059,5997,-1.02,22158,22110,-0.22,86885,86865,-0.02,105968,105918,-0.05,8106,8108,0.02,25.9,25.9,0.0,92.7,92.8,0.11,23.1,23.1,0.0,71.5,71.6,0.14,5.489155092670969,5.490509436389861,0.02,26.784298176050758,26.83168972135813,0.18
SRR10689469,,,hg38_hisat_cansplicep12,hg38_hisat_cansplicep12_EASTR_filtered,relative_change,1852,1819,-1.78,3411,3358,-1.55,17988,17956,-0.18,102016,102008,-0.01,121063,121043,-0.02,5854,5853,-0.02,31.4,31.4,0.0,96.6,96.6,0.0,26.6,26.6,0.0,75.1,75.1,0.0,3.9641640651981063,3.963486893338661,-0.02,24.553309286133715,24.58314082909824,0.12
SRR10689486,,,hg38_hisat_cansplicep12,hg38_hisat_cansplicep12_EASTR_filtered,relative_change,5482,5381,-1.84,10733,10558,-1.63,21445,21329,-0.54,157748,157704,-0.03,172504,172433,-0.04,16132,16136,0.02,47.0,47.0,0.0,92.1,92.1,0.0,42.4,42.4,0.0,80.1,80.2,0.12,10.924136436586242,10.926845124024029,0.02,42.93051600713202,43.06953156279194,0.32
SRR10689472,,,hg38_hisat_cansplicep12,hg38_hisat_cansplicep12_EASTR_filtered,relative_change,4662,4569,-1.99,8910,8754,-1.75,22114,22027,-0.39,143991,143988,-0.0,163197,163164,-0.02,13688,13695,0.05,43.2,43.2,0.0,92.9,93.0,0.11,39.0,39.0,0.0,78.6,78.7,0.13,9.269128412099708,9.27386861511583,0.05,38.23250097759902,38.33771905268462,0.28
