sampleID	treatment	Novel introns	Novel exons	Novel transcripts	Matching introns	Matching exons	Matching transcripts	Intron level sensitivity	Intron level precision	Exon level sensitivity	Exon level precision	Transcript level sensitivity	Transcript level precision
SRR10095077	B73_star	9190	14117	20882	110556	136478	16119	57.6	88.3	45.5	72.0	22.241079559566188	43.56368746790627
SRR10095075	B73_hisat	10059	16450	24060	112287	139735	16457	58.3	87.5	46.0	70.3	22.707453707536494	40.61751857245107
SRR10095077	B73_hisat	9155	14897	21724	111010	137413	16304	58.0	88.6	45.8	71.8	22.4963435162955	42.87367203113495
SRR10095075	B73_star	10027	15493	23218	111879	138740	16230	58.0	87.3	45.6	70.5	22.394237933603776	41.142770229162444
SRR10095076	B73_hisat	8657	14651	24942	107295	135854	15233	56.0	88.7	43.3	68.7	21.018572177608522	37.91661481020535
SRR10095076	B73_star	8553	13884	24111	106857	134748	15068	55.6	88.4	43.0	69.0	20.79090432430941	38.45937874881952
SRR10095076	B73_star_EASTR_filtered	8438	13629	23926	106751	134580	15036	55.5	88.5	42.9	69.1	20.746750558821095	38.59144807761408
SRR10095075	B73_hisat_EASTR_filtered	9808	15977	23796	112141	139487	16417	58.3	87.8	45.9	70.5	22.652261500676104	40.82510630890508
SRR10095077	B73_star_EASTR_filtered	9083	13903	20718	110461	136291	16084	57.5	88.4	45.4	72.2	22.192786378563348	43.70414651377642
SRR10095076	B73_hisat_EASTR_filtered	8356	14180	24710	107165	135631	15210	55.9	88.9	43.2	69.0	20.986836658663798	38.10120240480962
SRR10095075	B73_star_EASTR_filtered	9925	15310	23083	111769	138551	16198	57.9	87.4	45.6	70.6	22.350084168115462	41.23622107380158
SRR10095077	B73_hisat_EASTR_filtered	8964	14518	21488	110868	137163	16261	57.9	88.7	45.7	72.0	22.437011893920577	43.07663779172958
